state,district_or_market,material,date,modal_price_inr_per_unit
Maharashtra,Kolhapur,Wood,2026-04-01,822.27
Maharashtra,Solapur,Wood,2026-05-01,852.39
Maharashtra,Nagpur,Wood,2026-06-01,848.38
Maharashtra,Kolhapur,Wood,2026-07-01,788.58
Maharashtra,Kolhapur,Wood,2026-08-01,782.79
Maharashtra,Pune,Wood,2026-09-01,706.93
Maharashtra,Pune,Brass,2026-01-01,1844.4
Maharashtra,Solapur,Brass,2026-02-01,1579.65
Maharashtra,Nagpur,Brass,2026-03-01,1521.69
Maharashtra,Pune,Brass,2026-04-01,1707.03
Maharashtra,Solapur,Brass,2026-05-01,1850.08
Maharashtra,Kolhapur,Brass,2026-06-01,1671.39
Maharashtra,Nagpur,Brass,2026-07-01,1599.24
Maharashtra,Solapur,Brass,2026-08-01,1612.92
Maharashtra,Nagpur,Brass,2026-09-01,1864.99
Maharashtra,Nagpur,Silver-plated,2026-01-01,504.95
Maharashtra,Kolhapur,Silver-plated,2026-02-01,568.66
Maharashtra,Solapur,Silver-plated,2026-03-01,516.49
Maharashtra,Nagpur,Silver-plated,2026-04-01,529.94
Maharashtra,Nagpur,Silver-plated,2026-05-01,577.12
Maharashtra,Nagpur,Silver-plated,2026-06-01,587.65
Maharashtra,Kolhapur,Silver-plated,2026-07-01,598.2
Maharashtra,Pune,Silver-plated,2026-08-01,504.42
Maharashtra,Kolhapur,Silver-plated,2026-09-01,565.57
Maharashtra,Solapur,Bamboo,2026-01-01,626.06
Maharashtra,Solapur,Bamboo,2026-02-01,548.9
Maharashtra,Pune,Bamboo,2026-03-01,636.61
Maharashtra,Kolhapur,Bamboo,2026-04-01,623.94
Maharashtra,Solapur,Bamboo,2026-05-01,524.13
Maharashtra,Kolhapur,Bamboo,2026-06-01,558.19
Maharashtra,Nagpur,Bamboo,2026-07-01,649.42
Maharashtra,Pune,Bamboo,2026-08-01,573.15
Maharashtra,Nagpur,Bamboo,2026-09-01,596.04
Maharashtra,Kolhapur,Leather,2026-01-01,1488.64
Maharashtra,Solapur,Leather,2026-02-01,1447.12
Maharashtra,Pune,Leather,2026-03-01,1662.19
Maharashtra,Solapur,Leather,2026-04-01,1498.28
Maharashtra,Nagpur,Leather,2026-05-01,1653.11
Maharashtra,Kolhapur,Leather,2026-06-01,1701.38
Maharashtra,Nagpur,Leather,2026-07-01,1432.74
Maharashtra,Kolhapur,Leather,2026-08-01,1503.76
Maharashtra,Nagpur,Leather,2026-09-01,1718.71
Gujarat,Vadodara,Cotton,2026-01-01,957.46
Gujarat,Kutch,Cotton,2026-02-01,930.71
Gujarat,Surat,Cotton,2026-03-01,872.75
Gujarat,Surat,Cotton,2026-04-01,963.24
Gujarat,Kutch,Cotton,2026-05-01,808.01
Gujarat,Kutch,Cotton,2026-06-01,933.87
Gujarat,Vadodara,Cotton,2026-07-01,945.44
Gujarat,Ahmedabad,Cotton,2026-08-01,898.92
Gujarat,Surat,Cotton,2026-09-01,909.0
Gujarat,Kutch,Silk,2026-01-01,704.28
Gujarat,Kutch,Silk,2026-02-01,671.61
Gujarat,Vadodara,Silk,2026-03-01,608.64
Gujarat,Kutch,Silk,2026-04-01,580.56
Gujarat,Surat,Silk,2026-05-01,641.54
Gujarat,Kutch,Silk,2026-06-01,669.77
Gujarat,Vadodara,Silk,2026-07-01,617.4
Gujarat,Ahmedabad,Silk,2026-08-01,619.59
Gujarat,Ahmedabad,Silk,2026-09-01,587.21
Gujarat,Vadodara,Wool,2026-01-01,1293.34
Gujarat,Vadodara,Wool,2026-02-01,1321.28
Gujarat,Ahmedabad,Wool,2026-03-01,1257.13
Gujarat,Kutch,Wool,2026-04-01,1435.86
Gujarat,Ahmedabad,Wool,2026-05-01,1518.01
Gujarat,Kutch,Wool,2026-06-01,1254.57
Gujarat,Surat,Wool,2026-07-01,1264.22
Gujarat,Ahmedabad,Wool,2026-08-01,1375.57
Gujarat,Kutch,Wool,2026-09-01,1353.29
Gujarat,Kutch,Jute,2026-01-01,1202.49
Gujarat,Kutch,Jute,2026-02-01,1040.07
Gujarat,Vadodara,Jute,2026-03-01,1103.95
Gujarat,Kutch,Jute,2026-04-01,1085.3
Gujarat,Ahmedabad,Jute,2026-05-01,1167.12
Gujarat,Vadodara,Jute,2026-06-01,1020.91
Gujarat,Surat,Jute,2026-07-01,1045.17
Gujarat,Ahmedabad,Jute,2026-08-01,1044.66
Gujarat,Kutch,Jute,2026-09-01,1181.47
Gujarat,Kutch,Clay,2026-01-01,1612.28
Gujarat,Surat,Clay,2026-02-01,1414.69
Gujarat,Surat,Clay,2026-03-01,1520.69
Gujarat,Vadodara,Clay,2026-04-01,1371.37
Gujarat,Kutch,Clay,2026-05-01,1467.41
Gujarat,Vadodara,Clay,2026-06-01,1337.28
Gujarat,Kutch,Clay,2026-07-01,1477.53
Gujarat,Surat,Clay,2026-08-01,1558.77
Gujarat,Surat,Clay,2026-09-01,1589.24
Gujarat,Surat,Wood,2026-01-01,1709.97
Gujarat,Surat,Wood,2026-02-01,1924.27
Gujarat,Ahmedabad,Wood,2026-03-01,1776.25
Gujarat,Ahmedabad,Wood,2026-04-01,1847.4
Gujarat,Kutch,Wood,2026-05-01,1754.98
Gujarat,Vadodara,Wood,2026-06-01,1932.03
Gujarat,Vadodara,Wood,2026-07-01,1937.99
Gujarat,Kutch,Wood,2026-08-01,1918.84
Gujarat,Surat,Wood,2026-09-01,1867.97
Gujarat,Surat,Brass,2026-01-01,291.29
Gujarat,Surat,Brass,2026-02-01,318.01
Gujarat,Surat,Brass,2026-03-01,301.12
Gujarat,Surat,Brass,2026-04-01,321.94
Gujarat,Surat,Brass,2026-05-01,285.44
Gujarat,Vadodara,Brass,2026-06-01,277.6
Gujarat,Vadodara,Brass,2026-07-01,286.56
Gujarat,Vadodara,Brass,2026-08-01,301.54
Gujarat,Kutch,Brass,2026-09-01,293.06
Gujarat,Ahmedabad,Silver-plated,2026-01-01,616.54
Gujarat,Ahmedabad,Silver-plated,2026-02-01,691.23
Gujarat,Kutch,Silver-plated,2026-03-01,597.21
Gujarat,Kutch,Silver-plated,2026-04-01,694.65
Gujarat,Kutch,Silver-plated,2026-05-01,699.84
Gujarat,Vadodara,Silver-plated,2026-06-01,650.48
Gujarat,Ahmedabad,Silver-plated,2026-07-01,659.31
Gujarat,Ahmedabad,Silver-plated,2026-08-01,673.25
Gujarat,Ahmedabad,Silver-plated,2026-09-01,598.99
Gujarat,Kutch,Bamboo,2026-01-01,1042.26
Gujarat,Vadodara,Bamboo,2026-02-01,1054.28
Gujarat,Surat,Bamboo,2026-03-01,1027.75
Gujarat,Vadodara,Bamboo,2026-04-01,1092.12
Gujarat,Surat,Bamboo,2026-05-01,1125.43
Gujarat,Surat,Bamboo,2026-06-01,1191.52
Gujarat,Ahmedabad,Bamboo,2026-07-01,1042.34
Gujarat,Surat,Bamboo,2026-08-01,1087.29
Gujarat,Surat,Bamboo,2026-09-01,1142.73
Gujarat,Ahmedabad,Leather,2026-01-01,1326.99
Gujarat,Kutch,Leather,2026-02-01,1274.98
Gujarat,Vadodara,Leather,2026-03-01,1328.61
Gujarat,Kutch,Leather,2026-04-01,1225.65
Gujarat,Ahmedabad,Leather,2026-05-01,1194.63
Gujarat,Kutch,Leather,2026-06-01,1364.19
Gujarat,Vadodara,Leather,2026-07-01,1449.44
Gujarat,Vadodara,Leather,2026-08-01,1392.28
Gujarat,Ahmedabad,Leather,2026-09-01,1312.76
Rajasthan,Udaipur,Cotton,2026-01-01,1718.67
Rajasthan,Jaipur,Cotton,2026-02-01,1772.36
Rajasthan,Udaipur,Cotton,2026-03-01,1569.33
Rajasthan,Jodhpur,Cotton,2026-04-01,1820.72
Rajasthan,Barmer,Cotton,2026-05-01,1691.25
Rajasthan,Udaipur,Cotton,2026-06-01,1668.88
Rajasthan,Jodhpur,Cotton,2026-07-01,1776.02
Rajasthan,Jaipur,Cotton,2026-08-01,1557.11
Rajasthan,Jaipur,Cotton,2026-09-01,1651.41
Rajasthan,Barmer,Silk,2026-01-01,804.07
Rajasthan,Jaipur,Silk,2026-02-01,685.25
Rajasthan,Barmer,Silk,2026-03-01,816.75
Rajasthan,Jaipur,Silk,2026-04-01,701.23
Rajasthan,Jaipur,Silk,2026-05-01,743.48
Rajasthan,Udaipur,Silk,2026-06-01,747.4
Rajasthan,Jaipur,Silk,2026-07-01,748.52
Rajasthan,Udaipur,Silk,2026-08-01,671.93
Rajasthan,Jaipur,Silk,2026-09-01,791.2
Rajasthan,Jodhpur,Wool,2026-01-01,1126.5
Rajasthan,Barmer,Wool,2026-02-01,997.73
Rajasthan,Jodhpur,Wool,2026-03-01,934.04
Rajasthan,Jaipur,Wool,2026-04-01,1008.14
Rajasthan,Jodhpur,Wool,2026-05-01,926.06
Rajasthan,Jaipur,Wool,2026-06-01,930.94
Rajasthan,Udaipur,Wool,2026-07-01,1090.52
Rajasthan,Jaipur,Wool,2026-08-01,1104.58
Rajasthan,Jodhpur,Wool,2026-09-01,999.45
Rajasthan,Udaipur,Jute,2026-01-01,973.89
Rajasthan,Udaipur,Jute,2026-02-01,901.59
Rajasthan,Jodhpur,Jute,2026-03-01,984.77
Rajasthan,Jodhpur,Jute,2026-04-01,972.58
Rajasthan,Jaipur,Jute,2026-05-01,1091.88
Rajasthan,Udaipur,Jute,2026-06-01,947.86
Rajasthan,Udaipur,Jute,2026-07-01,1044.29
Rajasthan,Udaipur,Jute,2026-08-01,1081.48
Rajasthan,Udaipur,Jute,2026-09-01,943.74
Rajasthan,Jodhpur,Clay,2026-01-01,266.7
Rajasthan,Udaipur,Clay,2026-02-01,264.61
Rajasthan,Barmer,Clay,2026-03-01,235.71
Rajasthan,Jaipur,Clay,2026-04-01,264.44
Rajasthan,Jodhpur,Clay,2026-05-01,260.62
Rajasthan,Udaipur,Clay,2026-06-01,251.78
Rajasthan,Barmer,Clay,2026-07-01,242.01
Rajasthan,Barmer,Clay,2026-08-01,237.65
Rajasthan,Jodhpur,Clay,2026-09-01,263.97
Rajasthan,Jaipur,Wood,2026-01-01,1527.26
Rajasthan,Barmer,Wood,2026-02-01,1671.91
Rajasthan,Barmer,Wood,2026-03-01,1432.39
Rajasthan,Jaipur,Wood,2026-04-01,1603.23
Rajasthan,Jodhpur,Wood,2026-05-01,1710.61
Rajasthan,Udaipur,Wood,2026-06-01,1668.35
Rajasthan,Jodhpur,Wood,2026-07-01,1714.78
Rajasthan,Udaipur,Wood,2026-08-01,1606.75
Rajasthan,Udaipur,Wood,2026-09-01,1420.31
Rajasthan,Jodhpur,Brass,2026-01-01,871.29
Rajasthan,Jodhpur,Brass,2026-02-01,899.84
Rajasthan,Udaipur,Brass,2026-03-01,855.23
Rajasthan,Udaipur,Brass,2026-04-01,889.37
Rajasthan,Barmer,Brass,2026-05-01,943.61
Rajasthan,Udaipur,Brass,2026-06-01,951.12
Rajasthan,Udaipur,Brass,2026-07-01,855.12
Rajasthan,Jaipur,Brass,2026-08-01,954.88
Rajasthan,Barmer,Brass,2026-09-01,1040.62
Rajasthan,Jodhpur,Silver-plated,2026-01-01,143.36
Rajasthan,Barmer,Silver-plated,2026-02-01,141.32
Rajasthan,Jaipur,Silver-plated,2026-03-01,160.86
Rajasthan,Jodhpur,Silver-plated,2026-04-01,165.08
Rajasthan,Jodhpur,Silver-plated,2026-05-01,148.89
Rajasthan,Udaipur,Silver-plated,2026-06-01,160.55
Rajasthan,Jodhpur,Silver-plated,2026-07-01,166.97
Rajasthan,Udaipur,Silver-plated,2026-08-01,161.17
Rajasthan,Jaipur,Silver-plated,2026-09-01,137.8
Rajasthan,Jodhpur,Bamboo,2026-01-01,987.47
Rajasthan,Udaipur,Bamboo,2026-02-01,977.2
Rajasthan,Udaipur,Bamboo,2026-03-01,1033.23
Rajasthan,Jaipur,Bamboo,2026-04-01,946.31
Rajasthan,Udaipur,Bamboo,2026-05-01,960.98
Rajasthan,Udaipur,Bamboo,2026-06-01,965.67
Rajasthan,Udaipur,Bamboo,2026-07-01,867.85
Rajasthan,Jodhpur,Bamboo,2026-08-01,948.91
Rajasthan,Barmer,Bamboo,2026-09-01,1019.82
Rajasthan,Barmer,Leather,2026-01-01,1181.36
Rajasthan,Jodhpur,Leather,2026-02-01,1361.24
Rajasthan,Jodhpur,Leather,2026-03-01,1161.88
Rajasthan,Jodhpur,Leather,2026-04-01,1254.58
Rajasthan,Jaipur,Leather,2026-05-01,1354.69
Rajasthan,Jodhpur,Leather,2026-06-01,1251.05
Rajasthan,Jaipur,Leather,2026-07-01,1240.06
Rajasthan,Jodhpur,Leather,2026-08-01,1294.79
Rajasthan,Udaipur,Leather,2026-09-01,1352.72
West Bengal,Murshidabad,Cotton,2026-01-01,504.08
West Bengal,Hooghly,Cotton,2026-02-01,420.32
West Bengal,Murshidabad,Cotton,2026-03-01,433.82
West Bengal,Nadia,Cotton,2026-04-01,463.41
West Bengal,Nadia,Cotton,2026-05-01,466.09
West Bengal,Hooghly,Cotton,2026-06-01,432.21
West Bengal,Bankura,Cotton,2026-07-01,494.5
West Bengal,Murshidabad,Cotton,2026-08-01,417.68
West Bengal,Hooghly,Cotton,2026-09-01,419.93
West Bengal,Hooghly,Silk,2026-01-01,466.34
West Bengal,Nadia,Silk,2026-02-01,513.59
West Bengal,Bankura,Silk,2026-03-01,441.27
West Bengal,Bankura,Silk,2026-04-01,456.83
West Bengal,Bankura,Silk,2026-05-01,520.78
West Bengal,Murshidabad,Silk,2026-06-01,450.91
West Bengal,Bankura,Silk,2026-07-01,443.5
West Bengal,Hooghly,Silk,2026-08-01,516.92
West Bengal,Hooghly,Silk,2026-09-01,468.3
West Bengal,Hooghly,Wool,2026-01-01,369.18
West Bengal,Hooghly,Wool,2026-02-01,422.47
West Bengal,Murshidabad,Wool,2026-03-01,394.81
West Bengal,Hooghly,Wool,2026-04-01,400.8
West Bengal,Murshidabad,Wool,2026-05-01,397.47
West Bengal,Murshidabad,Wool,2026-06-01,392.15
West Bengal,Murshidabad,Wool,2026-07-01,410.67
West Bengal,Bankura,Wool,2026-08-01,385.54
West Bengal,Hooghly,Wool,2026-09-01,366.86
West Bengal,Nadia,Jute,2026-01-01,431.68
West Bengal,Bankura,Jute,2026-02-01,365.26
West Bengal,Murshidabad,Jute,2026-03-01,419.3
West Bengal,Murshidabad,Jute,2026-04-01,428.8
West Bengal,Bankura,Jute,2026-05-01,362.19
West Bengal,Hooghly,Jute,2026-06-01,384.52
West Bengal,Nadia,Jute,2026-07-01,372.28
West Bengal,Bankura,Jute,2026-08-01,438.02
West Bengal,Murshidabad,Jute,2026-09-01,368.33
West Bengal,Murshidabad,Clay,2026-01-01,1140.16
West Bengal,Murshidabad,Clay,2026-02-01,942.12
West Bengal,Nadia,Clay,2026-03-01,947.14
West Bengal,Murshidabad,Clay,2026-04-01,1112.51
West Bengal,Nadia,Clay,2026-05-01,1142.06
West Bengal,Bankura,Clay,2026-06-01,964.19
West Bengal,Hooghly,Clay,2026-07-01,1023.26
West Bengal,Murshidabad,Clay,2026-08-01,1098.41
West Bengal,Hooghly,Clay,2026-09-01,972.19
West Bengal,Bankura,Wood,2026-01-01,1570.55
West Bengal,Hooghly,Wood,2026-02-01,1383.32
West Bengal,Hooghly,Wood,2026-03-01,1458.23
West Bengal,Hooghly,Wood,2026-04-01,1369.76
West Bengal,Murshidabad,Wood,2026-05-01,1470.28
West Bengal,Nadia,Wood,2026-06-01,1341.27
West Bengal,Murshidabad,Wood,2026-07-01,1446.53
West Bengal,Hooghly,Wood,2026-08-01,1510.9
West Bengal,Nadia,Wood,2026-09-01,1349.73
West Bengal,Bankura,Brass,2026-01-01,1422.79
West Bengal,Bankura,Brass,2026-02-01,1484.56
West Bengal,Bankura,Brass,2026-03-01,1660.69
West Bengal,Hooghly,Brass,2026-04-01,1410.81
West Bengal,Nadia,Brass,2026-05-01,1415.49
West Bengal,Hooghly,Brass,2026-06-01,1530.09
West Bengal,Hooghly,Brass,2026-07-01,1648.89
West Bengal,Hooghly,Brass,2026-08-01,1425.63
West Bengal,Murshidabad,Brass,2026-09-01,1597.27
West Bengal,Murshidabad,Silver-plated,2026-01-01,1624.15
West Bengal,Murshidabad,Silver-plated,2026-02-01,1378.65
West Bengal,Hooghly,Silver-plated,2026-03-01,1385.31
West Bengal,Hooghly,Silver-plated,2026-04-01,1509.78
West Bengal,Hooghly,Silver-plated,2026-05-01,1610.4
West Bengal,Bankura,Silver-plated,2026-06-01,1492.2
West Bengal,Murshidabad,Silver-plated,2026-07-01,1700.33
West Bengal,Nadia,Silver-plated,2026-08-01,1643.11
West Bengal,Hooghly,Silver-plated,2026-09-01,1524.3
West Bengal,Bankura,Bamboo,2026-01-01,317.24
West Bengal,Hooghly,Bamboo,2026-02-01,386.64
West Bengal,Murshidabad,Bamboo,2026-03-01,393.85
West Bengal,Murshidabad,Bamboo,2026-04-01,325.12
West Bengal,Hooghly,Bamboo,2026-05-01,321.4
West Bengal,Murshidabad,Bamboo,2026-06-01,341.22
West Bengal,Murshidabad,Bamboo,2026-07-01,358.0
West Bengal,Hooghly,Bamboo,2026-08-01,339.59
West Bengal,Bankura,Bamboo,2026-09-01,321.62
West Bengal,Murshidabad,Leather,2026-01-01,1691.41
West Bengal,Bankura,Leather,2026-02-01,1563.5
West Bengal,Hooghly,Leather,2026-03-01,1839.66
West Bengal,Bankura,Leather,2026-04-01,1558.38
West Bengal,Murshidabad,Leather,2026-05-01,1707.58
West Bengal,Nadia,Leather,2026-06-01,1762.56
West Bengal,Murshidabad,Leather,2026-07-01,1839.69
West Bengal,Nadia,Leather,2026-08-01,1763.27
West Bengal,Bankura,Leather,2026-09-01,1647.09
Uttar Pradesh,Lucknow,Cotton,2026-01-01,915.54
Uttar Pradesh,Varanasi,Cotton,2026-02-01,950.48
Uttar Pradesh,Varanasi,Cotton,2026-03-01,967.77
Uttar Pradesh,Lucknow,Cotton,2026-04-01,926.3
Uttar Pradesh,Bhadohi,Cotton,2026-05-01,839.49
Uttar Pradesh,Moradabad,Cotton,2026-06-01,1013.1
Uttar Pradesh,Moradabad,Cotton,2026-07-01,995.04
Uttar Pradesh,Varanasi,Cotton,2026-08-01,983.68
Uttar Pradesh,Varanasi,Cotton,2026-09-01,847.9
Uttar Pradesh,Lucknow,Silk,2026-01-01,981.88
Uttar Pradesh,Varanasi,Silk,2026-02-01,1067.33
Uttar Pradesh,Bhadohi,Silk,2026-03-01,1040.73
Uttar Pradesh,Moradabad,Silk,2026-04-01,1173.46
Uttar Pradesh,Moradabad,Silk,2026-05-01,1064.06
Uttar Pradesh,Bhadohi,Silk,2026-06-01,949.32
Uttar Pradesh,Bhadohi,Silk,2026-07-01,1063.05
Uttar Pradesh,Lucknow,Silk,2026-08-01,1137.81
Uttar Pradesh,Varanasi,Silk,2026-09-01,1026.04
Uttar Pradesh,Bhadohi,Wool,2026-01-01,1040.67
Uttar Pradesh,Bhadohi,Wool,2026-02-01,878.9
Uttar Pradesh,Moradabad,Wool,2026-03-01,979.15
Uttar Pradesh,Varanasi,Wool,2026-04-01,1036.85
Uttar Pradesh,Varanasi,Wool,2026-05-01,930.87
Uttar Pradesh,Lucknow,Wool,2026-06-01,882.22
Uttar Pradesh,Bhadohi,Wool,2026-07-01,1021.5
Uttar Pradesh,Bhadohi,Wool,2026-08-01,967.77
Uttar Pradesh,Varanasi,Wool,2026-09-01,972.05
Uttar Pradesh,Varanasi,Jute,2026-01-01,1039.77
Uttar Pradesh,Bhadohi,Jute,2026-02-01,1174.9
Uttar Pradesh,Varanasi,Jute,2026-03-01,1080.1
Uttar Pradesh,Bhadohi,Jute,2026-04-01,993.68
Uttar Pradesh,Lucknow,Jute,2026-05-01,1128.97
Uttar Pradesh,Bhadohi,Jute,2026-06-01,1152.93
Uttar Pradesh,Bhadohi,Jute,2026-07-01,1155.38
Uttar Pradesh,Lucknow,Jute,2026-08-01,996.64
Uttar Pradesh,Lucknow,Jute,2026-09-01,1143.79
Uttar Pradesh,Bhadohi,Clay,2026-01-01,391.89
Uttar Pradesh,Varanasi,Clay,2026-02-01,438.13
Uttar Pradesh,Bhadohi,Clay,2026-03-01,385.09
Uttar Pradesh,Bhadohi,Clay,2026-04-01,402.76
Uttar Pradesh,Bhadohi,Clay,2026-05-01,410.36
Uttar Pradesh,Lucknow,Clay,2026-06-01,387.25
Uttar Pradesh,Moradabad,Clay,2026-07-01,435.42
Uttar Pradesh,Lucknow,Clay,2026-08-01,432.97
Uttar Pradesh,Moradabad,Clay,2026-09-01,393.53
Uttar Pradesh,Lucknow,Wood,2026-01-01,662.48
Uttar Pradesh,Varanasi,Wood,2026-02-01,583.38
Uttar Pradesh,Bhadohi,Wood,2026-03-01,627.36
Uttar Pradesh,Lucknow,Wood,2026-04-01,603.08
Uttar Pradesh,Bhadohi,Wood,2026-05-01,670.35
Uttar Pradesh,Bhadohi,Wood,2026-06-01,607.84
Uttar Pradesh,Varanasi,Wood,2026-07-01,702.0
Uttar Pradesh,Moradabad,Wood,2026-08-01,714.38
Uttar Pradesh,Bhadohi,Wood,2026-09-01,610.69
Uttar Pradesh,Moradabad,Brass,2026-01-01,742.46
Uttar Pradesh,Lucknow,Brass,2026-02-01,848.19
Uttar Pradesh,Varanasi,Brass,2026-03-01,859.56
Uttar Pradesh,Varanasi,Brass,2026-04-01,709.55
Uttar Pradesh,Moradabad,Brass,2026-05-01,701.32
Uttar Pradesh,Bhadohi,Brass,2026-06-01,747.55
Uttar Pradesh,Moradabad,Brass,2026-07-01,707.74
Uttar Pradesh,Lucknow,Brass,2026-08-01,715.24
Uttar Pradesh,Varanasi,Brass,2026-09-01,713.16
Uttar Pradesh,Moradabad,Silver-plated,2026-01-01,1571.85
Uttar Pradesh,Moradabad,Silver-plated,2026-02-01,1809.85
Uttar Pradesh,Moradabad,Silver-plated,2026-03-01,1649.59
Uttar Pradesh,Varanasi,Silver-plated,2026-04-01,1666.92
Uttar Pradesh,Bhadohi,Silver-plated,2026-05-01,1626.03
Uttar Pradesh,Bhadohi,Silver-plated,2026-06-01,1639.46
Uttar Pradesh,Moradabad,Silver-plated,2026-07-01,1783.96
Uttar Pradesh,Lucknow,Silver-plated,2026-08-01,1600.06
Uttar Pradesh,Varanasi,Silver-plated,2026-09-01,1644.69
Uttar Pradesh,Varanasi,Bamboo,2026-01-01,1321.1
Uttar Pradesh,Bhadohi,Bamboo,2026-02-01,1208.49
Uttar Pradesh,Bhadohi,Bamboo,2026-03-01,1251.54
Uttar Pradesh,Lucknow,Bamboo,2026-04-01,1131.91
Uttar Pradesh,Lucknow,Bamboo,2026-05-01,1240.46
Uttar Pradesh,Lucknow,Bamboo,2026-06-01,1275.17
Uttar Pradesh,Varanasi,Bamboo,2026-07-01,1364.35
Uttar Pradesh,Bhadohi,Bamboo,2026-08-01,1353.14
Uttar Pradesh,Lucknow,Bamboo,2026-09-01,1368.52
Uttar Pradesh,Moradabad,Leather,2026-01-01,1634.2
Uttar Pradesh,Moradabad,Leather,2026-02-01,1829.08
Uttar Pradesh,Varanasi,Leather,2026-03-01,1903.07
Uttar Pradesh,Lucknow,Leather,2026-04-01,1782.38
Uttar Pradesh,Moradabad,Leather,2026-05-01,1835.3
Uttar Pradesh,Bhadohi,Leather,2026-06-01,1865.05
Uttar Pradesh,Lucknow,Leather,2026-07-01,1953.73
Uttar Pradesh,Moradabad,Leather,2026-08-01,1910.23
Uttar Pradesh,Bhadohi,Leather,2026-09-01,1824.97
Tamil Nadu,Coimbatore,Cotton,2026-01-01,705.09
Tamil Nadu,Coimbatore,Cotton,2026-02-01,753.04
Tamil Nadu,Coimbatore,Cotton,2026-03-01,756.88
Tamil Nadu,Salem,Cotton,2026-04-01,743.18
Tamil Nadu,Madurai,Cotton,2026-05-01,668.84
Tamil Nadu,Coimbatore,Cotton,2026-06-01,761.97
Tamil Nadu,Coimbatore,Cotton,2026-07-01,778.98
Tamil Nadu,Coimbatore,Cotton,2026-08-01,701.86
Tamil Nadu,Kanchipuram,Cotton,2026-09-01,789.98
Tamil Nadu,Madurai,Silk,2026-01-01,944.44
Tamil Nadu,Salem,Silk,2026-02-01,891.33
Tamil Nadu,Coimbatore,Silk,2026-03-01,787.76
Tamil Nadu,Salem,Silk,2026-04-01,821.27
Tamil Nadu,Madurai,Silk,2026-05-01,788.67
Tamil Nadu,Salem,Silk,2026-06-01,929.44
Tamil Nadu,Salem,Silk,2026-07-01,925.11
Tamil Nadu,Coimbatore,Silk,2026-08-01,782.55
Tamil Nadu,Madurai,Silk,2026-09-01,874.22
Tamil Nadu,Salem,Wool,2026-01-01,1761.17
Tamil Nadu,Madurai,Wool,2026-02-01,1771.47
Tamil Nadu,Coimbatore,Wool,2026-03-01,1745.88
Tamil Nadu,Madurai,Wool,2026-04-01,1803.59
Tamil Nadu,Kanchipuram,Wool,2026-05-01,1606.87
Tamil Nadu,Kanchipuram,Wool,2026-06-01,1719.26
Tamil Nadu,Kanchipuram,Wool,2026-07-01,1659.96
Tamil Nadu,Coimbatore,Wool,2026-08-01,1636.36
