product_id,category,craft_type,material,state,district,size_m_or_units,weight_kg,handmade,quality_grade,design_complexity,raw_material_cost_inr,labour_cost_inr,inbound_procurement_cost_inr,production_overhead_inr,cost_floor_inr,selling_price_inr,mrp_inr,discount_pct,seller_count,rating,review_count,stock_units,trend_7d_pct,trend_30d_pct,trend_90d_pct,season,demand_index
SP-00014,Accessory,Leather Craft,Silk,West Bengal,Nadia,1.49,1.07,1,5,3,242.89,316.71,77.15,71.35,708.1,1199.72,1709.0,0.298,16,4.24,2465,27,0.07063579089099144,0.0555429327668466,0.12628102534387256,Festival,0.664
SP-00015,Jewellery,Embroidery,Wool,Assam,Sivasagar,3.0,0.27,1,3,5,1520.21,472.81,44.03,419.94,2456.99,3094.48,3992.88,0.225,64,3.97,3695,20,0.06637192407790904,0.08544203382143631,-0.10766890950631647,Monsoon,0.581
SP-00016,Accessory,Embroidery,Wood,Assam,Barpeta,3.28,1.41,1,5,2,1052.03,480.83,142.56,143.03,1818.45,2728.43,4084.48,0.332,34,4.36,4270,72,0.06319140068490942,0.00714747768771061,0.06018810466738444,Wedding,0.632
SP-00017,Accessory,Wood Craft,Wood,Odisha,Puri,4.42,2.83,1,5,4,1544.27,842.66,84.65,327.92,2799.5,5820.03,8660.76,0.328,77,4.07,4799,143,0.023519876061499835,0.15712470934673195,0.19013903819700156,Wedding,0.829
SP-00018,Pottery,Pottery,Wood,Gujarat,Vadodara,5.27,3.32,1,4,4,1236.02,454.86,76.25,275.98,2043.11,3166.37,4008.06,0.21,72,3.83,4225,17,-0.094564475429905,0.07043667290302598,0.08152537171721247,Monsoon,0.78
SP-00019,Pottery,Basketry,Cotton,Odisha,Cuttack,3.01,2.73,1,4,4,1499.13,1880.3,103.04,195.68,3678.15,5215.11,7000.15,0.255,42,3.77,4745,140,0.01237387337738206,0.07833938643534952,0.22997187950564715,Normal,0.551
SP-00020,Stole,Metal Craft,Clay,West Bengal,Hooghly,6.42,2.54,0,2,3,1106.96,1474.23,62.92,285.3,2929.41,5427.21,6422.73,0.155,16,4.3,2577,137,0.025394022217151653,0.1709550684860527,-0.18636152656942806,Normal,0.353
SP-00021,Home Decor,Wood Craft,Silk,Odisha,Koraput,5.78,1.07,0,5,1,1411.72,1692.13,205.53,86.18,3395.56,6126.24,8995.95,0.319,15,4.33,4547,5,0.046503235280073336,-0.03046732628698825,0.041262173786966644,Wedding,0.795
SP-00022,Wall Art,Block Print,Cotton,Maharashtra,Pune,5.31,0.91,0,4,2,1796.21,1454.5,238.47,329.25,3818.43,7576.47,10197.13,0.257,9,3.7,78,40,0.016543103263693022,0.17535858895693973,0.08474026534945749,Winter,0.545
SP-00023,Basket,Wood Craft,Leather,Maharashtra,Solapur,0.83,2.2,1,4,2,439.61,1316.37,54.76,123.41,1934.15,3854.77,5761.99,0.331,106,3.95,2091,86,-0.012714163834377772,0.08278904406949172,0.03972090545017512,Festival,0.725
SP-00024,Home Decor,Embroidery,Brass,Tamil Nadu,Coimbatore,1.39,1.83,1,5,5,393.62,564.88,105.08,171.88,1235.46,1796.94,2263.15,0.206,58,3.6,4602,5,0.036653518630912756,0.03741371520461436,0.12022531383320859,Normal,0.321
SP-00025,Stole,Wood Craft,Clay,Rajasthan,Jodhpur,3.93,2.02,1,2,3,605.65,1185.59,242.61,269.66,2303.51,4483.25,6612.46,0.322,78,4.07,3666,78,0.020316953118113424,0.2997673726595832,0.10569275882004403,Wedding,0.769
SP-00026,Pottery,Embroidery,Jute,Rajasthan,Barmer,3.46,0.49,1,5,5,674.23,436.7,120.22,119.2,1350.35,1957.19,2068.91,0.054,101,3.78,3342,17,-0.07157030421075618,0.006439263188135376,-0.24852991921983963,Winter,0.796
SP-00027,Saree,Wood Craft,Leather,Tamil Nadu,Madurai,5.13,1.16,1,5,1,1364.23,800.77,32.9,133.62,2331.52,3300.04,4674.28,0.294,85,4.7,3254,21,0.05341630090539985,-0.028837228223075946,0.2136504653456877,Summer,0.417
SP-00028,Bag,Jewellery,Jute,Tamil Nadu,Madurai,5.03,1.57,1,1,5,1413.78,541.47,42.06,143.14,2140.45,3181.98,4513.45,0.295,20,4.21,2780,97,-0.0069385658808871625,0.15478126607335635,-0.31308164878407546,Normal,0.336
SP-00029,Jewellery,Jewellery,Silver-plated,Uttar Pradesh,Moradabad,2.7,1.93,1,1,5,1213.71,1018.75,260.04,251.92,2744.42,4562.42,4737.72,0.037,101,4.07,4991,137,-0.017676379017868896,-0.0632262670577837,-0.12911548601617207,Normal,0.457
SP-00030,Saree,Pottery,Silk,Karnataka,Channapatna,1.65,0.18,0,2,4,1046.66,737.72,31.97,161.21,1977.56,2699.56,3946.73,0.316,55,3.02,1423,144,0.02949216964187215,-0.10548224852577892,0.2837897760019473,Normal,0.486
SP-00031,Saree,Wood Craft,Bamboo,Karnataka,Dharwad,4.89,1.6,1,1,5,1525.72,1789.68,107.82,343.5,3766.72,5836.09,8910.06,0.345,79,4.21,1626,146,-0.001195687620991908,-0.12517591481792673,-0.13497107309533313,Wedding,0.571
SP-00032,Jewellery,Handloom,Silver-plated,Rajasthan,Jodhpur,3.83,2.83,0,1,3,641.68,270.43,43.15,93.71,1048.97,2079.33,2115.29,0.017,99,3.82,509,93,-0.05118672176995301,0.08463221475430638,-0.05905582468917961,Wedding,0.808
SP-00033,Accessory,Pottery,Cotton,Rajasthan,Barmer,4.56,0.2,1,3,4,519.27,1394.28,260.25,189.21,2363.01,3451.19,3695.06,0.066,107,4.36,3375,51,-0.00026346327246659293,-0.15368380406201854,0.020322563808649004,Normal,0.483
SP-00034,Pottery,Pottery,Bamboo,Uttar Pradesh,Moradabad,2.28,1.49,1,5,1,1479.13,1689.91,190.71,206.95,3566.7,6536.78,6576.24,0.006,70,3.71,4815,95,0.11239125064780228,0.022582726619504213,0.33686201777912317,Normal,0.644
SP-00035,Wall Art,Wood Craft,Clay,Assam,Kamrup,5.01,1.94,1,5,2,759.9,633.08,275.45,261.82,1930.25,3419.23,3614.41,0.054,107,5.0,303,84,0.05924220183040675,0.06723697552742398,-0.044219971845837425,Normal,0.692
SP-00036,Jewellery,Metal Craft,Silver-plated,Rajasthan,Barmer,3.36,3.48,1,3,2,1443.15,1517.04,80.0,274.87,3315.06,3835.51,5776.37,0.336,98,3.73,1468,6,-0.0029420246574650318,-0.0024773727793091296,0.12025235581916788,Normal,0.692
SP-00037,Accessory,Metal Craft,Cotton,Maharashtra,Pune,3.6,1.16,1,3,5,221.69,981.34,218.51,132.81,1554.35,2397.76,2397.76,0.0,16,4.01,1374,73,0.008923194213459973,0.10474846907094743,0.06781651331275253,Normal,0.421
SP-00038,Pottery,Pottery,Clay,Maharashtra,Nagpur,5.55,0.99,1,4,3,1356.63,1053.42,91.63,182.29,2683.97,4441.41,4665.35,0.048,31,4.23,449,1,-0.03700804595631153,-0.07195358752705264,0.14165019467563367,Normal,0.614
SP-00039,Stole,Jewellery,Cotton,Telangana,Hyderabad,4.22,0.92,1,1,2,110.05,1268.34,260.41,297.65,1936.45,2372.89,3007.47,0.211,72,4.9,397,54,0.001414165170715253,-0.04931306215848628,0.07183220666730471,Winter,0.425
SP-00040,Pottery,Block Print,Jute,Odisha,Koraput,4.1,0.84,1,4,4,182.03,424.8,123.55,57.61,787.99,1180.12,1490.05,0.208,40,4.11,3882,21,-0.04399204788200102,0.20818166193008242,0.34663925454171257,Normal,0.64
SP-00041,Wall Art,Handloom,Silk,Karnataka,Channapatna,6.45,0.11,1,3,3,333.21,1156.19,272.27,402.15,2163.82,3550.62,4623.2,0.232,119,3.3,948,2,-0.03412135986941435,0.024894812239307076,-0.049375721064402134,Festival,0.733
SP-00042,Wall Art,Block Print,Wool,Maharashtra,Solapur,2.02,2.18,1,5,3,1526.79,1456.35,183.07,353.37,3519.58,6439.88,7514.45,0.143,49,3.82,3861,133,0.004044670149455108,0.06172311948105247,0.03766668073769535,Monsoon,0.573
SP-00043,Pottery,Block Print,Brass,Karnataka,Bengaluru Rural,6.27,0.71,1,1,5,409.71,1699.12,156.85,343.4,2609.08,5085.42,6348.84,0.199,103,3.59,3893,135,0.021545863901634946,0.028238914457487906,0.26427037262856024,Wedding,0.746
SP-00044,Pottery,Jewellery,Silver-plated,Karnataka,Dharwad,1.73,2.63,1,1,2,1142.46,675.67,269.64,207.85,2295.62,3796.02,4540.69,0.164,117,4.51,1690,56,0.17894268396837676,0.1251285574844789,-0.04316232479223417,Festival,0.627
SP-00045,Bag,Basketry,Silk,West Bengal,Nadia,4.61,1.25,0,1,4,1191.86,383.33,267.88,161.25,2004.32,2553.95,3073.35,0.169,31,4.43,1223,97,-0.04710875831854534,-0.0006943748772558975,-0.023579861589280104,Normal,0.592
SP-00046,Bag,Jewellery,Silk,Karnataka,Bengaluru Rural,2.27,2.7,0,2,4,1646.45,1803.08,287.31,78.73,3815.57,4531.42,5594.35,0.19,108,3.92,409,37,0.08224736893232228,-0.0031339438239510534,-0.33027197506554473,Monsoon,0.394
SP-00047,Home Decor,Handloom,Bamboo,Uttar Pradesh,Varanasi,4.91,1.11,1,3,5,1417.55,1656.51,85.84,426.62,3586.52,3898.78,4559.98,0.145,50,4.35,926,36,0.008728427538595035,-0.08770164449702281,0.08118713295917206,Monsoon,0.385
SP-00048,Jewellery,Block Print,Bamboo,Assam,Barpeta,2.54,1.9,1,5,2,1937.12,515.14,269.76,360.94,3082.96,4792.68,5013.26,0.044,31,4.3,447,72,0.11410874401020248,0.02302802035796217,0.13620677075043425,Normal,0.567
SP-00049,Home Decor,Block Print,Silk,Assam,Dibrugarh,1.75,0.96,1,3,2,660.18,1537.43,194.19,236.01,2627.81,3840.43,4593.82,0.164,16,4.3,4143,138,0.0022150842214482686,0.07358412569330236,-0.39889510013644414,Monsoon,0.1
SP-00050,Accessory,Metal Craft,Cotton,Karnataka,Bengaluru Rural,5.27,2.22,1,2,4,1554.92,587.32,148.26,305.61,2596.11,3122.27,3297.01,0.053,95,4.05,2483,58,-0.048237082610078266,0.014416792865917662,-0.04875073503958986,Normal,0.559
SP-00051,Home Decor,Metal Craft,Jute,Gujarat,Vadodara,3.27,2.34,1,4,1,744.46,1533.8,77.85,321.24,2677.35,4599.36,5650.32,0.186,58,3.88,861,45,0.05159907418806976,-0.1004269098090749,0.1229664247993913,Wedding,0.746
SP-00052,Basket,Basketry,Jute,West Bengal,Hooghly,2.92,2.01,1,4,3,882.14,1755.34,204.71,186.94,3029.13,4767.76,6208.02,0.232,62,4.27,4436,48,0.05169551888668712,0.04029932911999557,0.12443359629893407,Festival,0.604
SP-00053,Accessory,Block Print,Silver-plated,Assam,Sivasagar,1.98,2.37,1,5,5,679.8,604.02,212.18,414.13,1910.13,2234.13,2860.6,0.219,35,4.57,3589,146,0.050806733400111916,-0.1707953341777443,0.011689879637686217,Festival,0.613
SP-00054,Pottery,Pottery,Brass,Tamil Nadu,Madurai,2.9,3.08,1,1,2,1337.04,1376.89,117.0,267.82,3098.75,4374.52,6204.99,0.295,54,4.3,104,111,0.025096294368632872,-0.03623234580276522,-0.06747296297209118,Winter,0.662
SP-00055,Saree,Embroidery,Silver-plated,Telangana,Karimnagar,3.24,0.92,1,3,4,1104.42,701.57,140.7,137.54,2084.23,3259.88,4617.39,0.294,36,4.07,3499,116,0.07661172860896238,-0.024436712021302286,0.06035970457579409,Normal,0.612
SP-00056,Pottery,Block Print,Jute,Karnataka,Mysuru,1.66,0.62,1,5,3,2015.27,1899.52,48.8,105.2,4068.79,7216.15,7693.12,0.062,75,3.98,2532,82,0.02309582418399796,0.05103957256122185,0.004666693947732933,Normal,0.331
SP-00057,Wall Art,Embroidery,Brass,Rajasthan,Udaipur,6.45,3.5,1,4,1,1884.05,1227.11,115.95,234.48,3461.59,5036.96,7064.46,0.287,14,4.69,1973,48,0.04991735235374414,0.09196605733465027,-0.10557402792752696,Monsoon,0.34
SP-00058,Stole,Basketry,Bamboo,Rajasthan,Udaipur,5.86,0.59,0,3,5,1016.85,566.04,48.23,71.12,1702.24,2247.49,2388.41,0.059,14,3.99,325,129,-0.017490666914225874,0.01641706378251472,0.04053188055756454,Festival,0.92
SP-00059,Pottery,Wood Craft,Wood,Rajasthan,Barmer,1.06,1.44,1,5,3,1102.4,1586.04,232.57,235.87,3156.88,4408.73,4700.14,0.062,33,4.56,219,123,-0.08007728722193394,-0.014317083105611389,0.07232446111001103,Normal,0.617
SP-00060,Wall Art,Basketry,Leather,Maharashtra,Nagpur,4.42,1.63,1,1,1,1364.31,1302.6,81.92,138.32,2887.15,4356.23,5800.57,0.249,105,3.91,2652,7,0.007269591511698493,-0.11073256477730475,-0.0876252851697322,Festival,0.95
SP-00061,Jewellery,Pottery,Clay,Telangana,Nalgonda,3.01,2.68,0,2,2,534.54,732.76,170.92,175.9,1614.12,2632.33,3400.94,0.226,68,4.38,4199,133,-0.020010584830092517,0.10328579146073064,0.0682978117410891,Normal,0.528
SP-00062,Wall Art,Jewellery,Clay,Maharashtra,Nagpur,0.86,0.83,1,5,3,546.83,1459.66,56.77,132.79,2196.05,3319.23,3383.52,0.019,25,5.0,1711,39,0.04101133547372929,0.029760329338890362,-0.03409017926489473,Normal,0.451
SP-00063,Wall Art,Pottery,Wool,Telangana,Nalgonda,6.08,0.44,1,5,1,370.39,1138.68,260.14,351.71,2120.92,3768.79,5641.9,0.332,16,4.35,4578,120,0.04054912884504377,0.11825588257151592,-0.07414351924873203,Normal,0.689
SP-00064,Bag,Jewellery,Leather,Telangana,Hyderabad,3.46,3.4,1,3,5,335.13,1341.39,116.69,127.28,1920.49,2160.25,2776.67,0.222,49,3.91,4010,139,0.08384904160990217,-0.06012914327565442,0.3393737935260836,Normal,0.692
SP-00065,Bag,Basketry,Jute,Odisha,Puri,3.91,1.67,1,3,2,700.83,687.34,132.22,87.86,1608.25,2364.06,2597.87,0.09,67,3.72,4853,139,0.06996681662372446,0.0497413412957782,0.1973244815590773,Festival,0.655
SP-00066,Accessory,Handloom,Brass,Gujarat,Kutch,6.17,1.43,0,1,5,158.89,262.51,213.71,275.07,910.18,849.06,1171.12,0.275,70,3.5,4402,131,0.07968092859281885,-0.17706154097954116,-0.2522564151784464,Normal,0.515
SP-00067,Saree,Jewellery,Wood,Telangana,Warangal,1.46,2.73,1,2,2,1617.1,1510.28,261.02,125.04,3513.44,4235.95,6457.24,0.344,65,3.65,4550,63,0.022674081341095012,-0.16844021549884744,0.16828327013713024,Normal,0.47
SP-00068,Stole,Block Print,Clay,Telangana,Warangal,5.27,2.95,1,1,4,137.83,1525.6,170.52,235.47,2069.42,3548.16,4234.08,0.162,38,4.23,4657,32,-0.018025442403568234,-0.016075416408774558,0.06644035282412629,Festival,0.68
SP-00069,Pottery,Metal Craft,Silk,Uttar Pradesh,Varanasi,1.08,3.32,1,2,2,237.74,1522.35,205.95,398.56,2364.6,4130.38,6220.45,0.336,97,4.25,1017,105,-0.019894138180924757,0.08277963982471329,0.14023856470222318,Festival,0.516
SP-00070,Home Decor,Wood Craft,Leather,Tamil Nadu,Madurai,6.12,2.95,1,1,2,328.24,1249.86,174.42,416.3,2168.82,3420.75,3662.47,0.066,9,4.27,989,144,0.007301866097610948,0.002219346724172802,0.2166098305719307,Summer,0.7
SP-00071,Stole,Basketry,Bamboo,Gujarat,Ahmedabad,5.48,3.42,0,4,2,1558.91,435.67,177.33,267.4,2439.31,4899.52,5612.28,0.127,113,4.14,570,13,0.09368056961265478,0.162603390991068,-0.38872879260523896,Normal,0.566
SP-00072,Basket,Metal Craft,Silver-plated,Odisha,Cuttack,6.08,2.18,1,3,2,1759.24,523.5,89.05,256.3,2628.09,5411.52,5806.35,0.068,21,4.41,1821,136,-0.05049097144739051,0.1582530741752657,0.01816243592057118,Normal,0.516
SP-00073,Wall Art,Metal Craft,Brass,Rajasthan,Udaipur,5.3,2.2,0,2,4,253.12,801.24,91.0,225.14,1370.5,2387.52,3096.65,0.229,114,3.69,810,65,0.021401109351293836,0.018277384178132357,0.03649458767366271,Normal,0.765
SP-00074,Accessory,Basketry,Silver-plated,Assam,Sivasagar,6.12,0.74,1,1,3,837.44,928.67,147.9,447.93,2361.94,3629.91,4671.7,0.223,61,4.23,2989,147,0.07604203257015835,-0.0264626000063131,0.12769466842509464,Festival,0.859
SP-00075,Bag,Wood Craft,Bamboo,Maharashtra,Nagpur,0.86,2.9,1,3,4,1191.73,986.76,261.18,302.43,2742.1,4127.68,5764.92,0.284,94,4.12,228,110,0.03786597113553134,0.1362960573249448,-0.04593776824283591,Normal,0.653
SP-00076,Jewellery,Wood Craft,Wool,Uttar Pradesh,Lucknow,1.29,0.78,1,4,1,618.4,1457.38,59.9,432.42,2568.1,3523.99,4686.16,0.248,90,3.74,3756,53,0.10529263402722822,0.08499783413465481,0.16013009176262796,Winter,0.661
SP-00077,Home Decor,Jewellery,Silk,Odisha,Puri,2.35,0.53,1,2,5,863.31,390.79,241.2,349.2,1844.5,3008.91,3599.17,0.164,85,4.32,3595,36,-0.039073953396441,-0.01662949155810063,-0.02993654531442863,Normal,0.595
SP-00078,Stole,Block Print,Jute,Telangana,Karimnagar,1.29,1.59,1,2,5,1303.95,671.46,281.1,249.17,2505.68,3596.72,4974.72,0.277,46,4.59,3801,12,-0.0767265367856559,-0.08680139168439971,-0.3699481631408921,Winter,0.54
SP-00079,Pottery,Metal Craft,Clay,Odisha,Cuttack,2.94,2.03,1,3,4,498.3,451.89,244.11,389.13,1583.43,2807.56,3562.89,0.212,100,3.99,2159,51,0.09581843233626681,0.013910017699915008,0.20438761682124768,Normal,0.538
SP-00080,Stole,Metal Craft,Wool,Telangana,Nalgonda,1.67,0.3,0,1,4,1087.58,1466.36,81.82,120.18,2755.94,5134.2,5592.81,0.082,50,3.81,1711,144,0.0127094770955592,0.0007960204129268469,0.09238788992625815,Festival,0.478
SP-00081,Accessory,Handloom,Clay,Tamil Nadu,Madurai,2.02,2.74,1,3,3,477.97,1544.44,31.16,278.47,2332.04,4692.83,5444.12,0.138,47,3.37,781,55,0.037286328990079,0.15896220052876434,0.04551585980700591,Monsoon,0.454
SP-00082,Jewellery,Block Print,Silk,Rajasthan,Jaipur,3.38,3.03,1,3,4,811.9,1915.52,138.91,419.34,3285.67,4546.98,4863.08,0.065,83,4.71,1189,43,-0.0333796884522443,0.034506513379708226,0.2512303712831342,Normal,0.345
SP-00083,Pottery,Block Print,Leather,Gujarat,Vadodara,2.1,1.03,1,5,2,906.8,1764.96,90.67,388.67,3151.1,4516.43,6651.59,0.321,18,4.61,1240,127,-0.01800950443094528,0.09774025775192499,0.07744919573245776,Monsoon,0.721
SP-00084,Wall Art,Wood Craft,Cotton,Maharashtra,Pune,2.33,2.2,1,5,4,1934.24,1766.38,226.66,226.49,4153.77,7442.7,7760.9,0.041,18,3.43,1543,75,0.009810906943772613,-0.10711152343848904,0.1504877869402984,Wedding,0.584
SP-00085,Wall Art,Wood Craft,Wood,Karnataka,Channapatna,5.22,3.2,1,2,4,928.88,1320.63,80.9,368.09,2698.5,4968.3,5957.19,0.166,89,4.64,1110,14,0.05758982329177281,0.052862159249126586,0.4519122879318276,Normal,0.548
SP-00086,Saree,Metal Craft,Bamboo,Tamil Nadu,Madurai,5.23,1.4,0,2,3,1314.95,674.02,120.95,292.55,2402.47,4273.24,5167.16,0.173,106,3.81,2262,52,-0.016300754885048844,0.011939955316193605,-0.17010710444509422,Wedding,0.602
SP-00087,Wall Art,Basketry,Cotton,Assam,Dibrugarh,6.17,0.27,1,2,3,1277.26,1497.65,269.14,136.37,3180.42,5887.67,7839.77,0.249,33,4.16,1857,111,-0.003288408242903891,0.27746065500264316,-0.20803433522194115,Normal,0.45
SP-00088,Stole,Handloom,Clay,Telangana,Nalgonda,4.34,0.79,0,3,5,1092.06,918.52,68.08,438.94,2517.6,4394.25,4586.9,0.042,97,3.8,306,148,-0.009184017840309068,-0.012842613111552562,0.16700658497739332,Normal,0.704
SP-00089,Pottery,Handloom,Silk,Maharashtra,Pune,3.98,2.73,1,5,3,1136.77,1388.38,222.44,228.96,2976.55,4237.56,4636.28,0.086,106,4.33,3445,49,-0.048416714877555875,0.021044448846072147,-0.06116062860333504,Normal,0.497
SP-00090,Wall Art,Metal Craft,Bamboo,Telangana,Nalgonda,5.09,1.15,1,1,3,529.44,1460.96,183.59,165.93,2339.92,4352.02,5696.36,0.236,83,3.82,3046,11,0.10549719770060356,0.2667644203899255,-0.09491472510917437,Normal,0.44
SP-00091,Home Decor,Handloom,Clay,Odisha,Puri,1.83,1.6,1,1,4,891.77,1459.92,235.31,239.02,2826.02,4714.23,6353.41,0.258,30,4.46,2049,77,0.07597503404014581,0.06969158707361126,-0.1454884078047305,Festival,0.499
SP-00092,Home Decor,Wood Craft,Leather,Karnataka,Bengaluru Rural,3.31,3.37,1,3,3,279.92,586.22,30.15,222.78,1119.07,1888.29,2006.68,0.059,24,4.08,976,48,-0.07260809277006008,0.0074301889926271306,0.017631131159196164,Normal,0.467
SP-00093,Bag,Embroidery,Clay,West Bengal,Bankura,1.88,3.18,1,4,1,1923.89,1395.33,90.47,164.76,3574.45,4661.81,6007.49,0.224,91,3.15,2009,139,0.02850884715959661,-0.0062127075172445576,0.176296587878389,Summer,0.641
SP-00094,Basket,Pottery,Wood,West Bengal,Murshidabad,2.32,1.6,0,5,3,1665.99,1853.0,102.67,178.34,3800.0,6018.9,6816.42,0.117,118,3.84,2637,19,0.048933081690758336,0.048796289633100204,0.10513358834879108,Normal,0.784
SP-00095,Accessory,Wood Craft,Bamboo,Uttar Pradesh,Varanasi,1.87,2.68,1,3,1,417.36,621.9,207.09,160.01,1406.36,1556.48,1975.23,0.212,5,4.4,3374,66,0.04375640336740044,-0.029193369617461003,0.04301571945592758,Monsoon,0.572
SP-00096,Jewellery,Wood Craft,Bamboo,West Bengal,Murshidabad,0.57,0.71,0,5,2,525.18,497.23,208.2,339.93,1570.54,2097.7,2277.63,0.079,67,4.43,524,52,-0.03322363730630862,-0.14283953114415024,0.18677260624248476,Normal,0.728
SP-00097,Bag,Pottery,Cotton,Uttar Pradesh,Moradabad,4.36,2.18,1,3,3,292.7,1353.14,158.26,291.36,2095.46,2595.18,3650.04,0.289,97,3.85,2179,30,0.006679323296241147,-0.01815939342816051,-0.17816310597568877,Normal,0.478
SP-00098,Bag,Wood Craft,Cotton,Karnataka,Dharwad,6.21,0.14,1,5,4,1995.9,2000.86,178.59,81.26,4256.61,5826.73,7863.33,0.259,116,3.61,3514,109,0.07951528517550589,-0.26476325653527544,-0.02856784408898004,Festival,0.536
SP-00099,Basket,Wood Craft,Clay,Gujarat,Vadodara,2.37,3.4,1,3,1,488.89,437.6,155.26,427.03,1508.78,2968.63,3791.35,0.217,46,3.53,620,38,-0.04750495590632105,0.20042291046850141,0.06467284167729,Winter,0.539
SP-00100,Pottery,Metal Craft,Leather,Maharashtra,Solapur,1.03,2.39,1,1,2,1192.25,798.85,106.98,184.02,2282.1,3784.3,3946.09,0.041,11,4.17,3447,73,0.0307651314970756,-0.06245289129130064,0.21529005496287767,Summer,0.511
SP-00101,Stole,Embroidery,Silk,Rajasthan,Jaipur,0.78,1.07,1,4,2,1066.53,870.12,105.5,62.82,2104.97,3610.01,4297.63,0.16,54,4.18,3823,121,-0.04701781040106019,0.11698568930553546,-0.23290738579809678,Normal,0.816
SP-00102,Stole,Jewellery,Wood,Maharashtra,Nagpur,0.63,1.85,1,3,5,1435.14,470.32,284.45,58.91,2248.82,3856.99,5870.61,0.343,52,3.9,1832,66,0.024393381854036375,0.07920109373657568,0.11861398810201007,Festival,0.59
SP-00103,Wall Art,Wood Craft,Silk,Telangana,Nalgonda,6.43,0.16,1,2,1,861.24,593.82,294.07,239.95,1989.08,2534.58,3075.95,0.176,101,3.74,4869,38,0.02796488919148203,0.037191692489596806,-0.035648018563518236,Normal,0.631
SP-00104,Stole,Basketry,Bamboo,Assam,Barpeta,2.18,3.01,1,3,2,433.29,1622.53,111.38,62.43,2229.63,3437.51,3924.1,0.124,65,4.4,1517,107,0.05684182654600256,-0.006255571632458018,0.22944878151974465,Festival,0.693
